k,silhouette
2,0.4477044518242913
3,0.48803176352038435
4,0.5194008939075435
5,0.510753258206244
6,0.5061163400591324
7,0.3353899523516295
8,0.3514498477006708
9,0.36898986605920114
10,0.3102955067230294
