component,explained_variance_ratio,cumulative
1,0.49676449015516394,0.49676449015516394
2,0.17723821762303588,0.6740027077781998
3,0.14818915191455606,0.8221918596927559
4,0.09248899924949763,0.9146808589422535
5,0.05270508596500767,0.9673859449072612
6,0.03261405509273888,1.0
