support,itemsets
0.3302752293577982,"frozenset({'HighRating', 'NonSummerRelease'})"
0.3394495412844037,"frozenset({'HighRating', 'NotPopularTop25'})"
0.10091743119266056,"frozenset({'HighRating', 'PopularTop25'})"
0.11467889908256881,"frozenset({'HighRating', 'Science Fiction'})"
0.10091743119266056,"frozenset({'HighRating', 'ShortRuntime'})"
0.11009174311926606,"frozenset({'HighRating', 'SummerRelease'})"
0.12844036697247707,"frozenset({'HighRating', 'Thriller'})"
0.07339449541284404,"frozenset({'HighRevenue', 'Horror'})"
0.37155963302752293,"frozenset({'HighRevenue', 'LongRuntime'})"
0.1651376146788991,"frozenset({'HighRevenue', 'LowRating'})"
0.38990825688073394,"frozenset({'HighRevenue', 'NonSummerRelease'})"
0.3669724770642202,"frozenset({'HighRevenue', 'NotPopularTop25'})"
0.14220183486238533,"frozenset({'HighRevenue', 'PopularTop25'})"
0.13761467889908258,"frozenset({'HighRevenue', 'Science Fiction'})"
0.13761467889908258,"frozenset({'HighRevenue', 'ShortRuntime'})"
0.11926605504587157,"frozenset({'HighRevenue', 'SummerRelease'})"
0.1651376146788991,"frozenset({'HighRevenue', 'Thriller'})"
0.08256880733944955,"frozenset({'LowBudget', 'Horror'})"
0.13302752293577982,"frozenset({'Horror', 'LowRating'})"
0.0871559633027523,"frozenset({'Horror', 'LowRevenue'})"
0.13302752293577982,"frozenset({'Horror', 'NonSummerRelease'})"
0.10550458715596331,"frozenset({'Horror', 'NotPopularTop25'})"
0.11467889908256881,"frozenset({'Horror', 'ShortRuntime'})"
0.15137614678899083,"frozenset({'LowBudget', 'LongRuntime'})"
0.1651376146788991,"frozenset({'LowRating', 'LongRuntime'})"
0.13302752293577982,"frozenset({'LowRevenue', 'LongRuntime'})"
0.3853211009174312,"frozenset({'NonSummerRelease', 'LongRuntime'})"
0.38990825688073394,"frozenset({'LongRuntime', 'NotPopularTop25'})"
0.11467889908256881,"frozenset({'PopularTop25', 'LongRuntime'})"
0.13761467889908258,"frozenset({'LongRuntime', 'Science Fiction'})"
0.11926605504587157,"frozenset({'SummerRelease', 'LongRuntime'})"
0.1651376146788991,"frozenset({'Thriller', 'LongRuntime'})"
0.38073394495412843,"frozenset({'LowBudget', 'LowRating'})"
0.43119266055045874,"frozenset({'LowBudget', 'LowRevenue'})"
0.4036697247706422,"frozenset({'LowBudget', 'NonSummerRelease'})"
0.41743119266055045,"frozenset({'LowBudget', 'NotPopularTop25'})"
0.08256880733944955,"frozenset({'LowBudget', 'PopularTop25'})"
0.3486238532110092,"frozenset({'LowBudget', 'ShortRuntime'})"
0.0963302752293578,"frozenset({'LowBudget', 'SummerRelease'})"
0.16972477064220184,"frozenset({'LowBudget', 'Thriller'})"
0.3944954128440367,"frozenset({'LowRating', 'LowRevenue'})"
0.10091743119266056,"frozenset({'LowRating', 'Mystery'})"
0.46788990825688076,"frozenset({'LowRating', 'NonSummerRelease'})"
0.40825688073394495,"frozenset({'LowRating', 'NotPopularTop25'})"
0.15137614678899083,"frozenset({'LowRating', 'PopularTop25'})"
0.10091743119266056,"frozenset({'LowRating', 'Science Fiction'})"
0.3944954128440367,"frozenset({'LowRating', 'ShortRuntime'})"
0.09174311926605505,"frozenset({'SummerRelease', 'LowRating'})"
0.21100917431192662,"frozenset({'LowRating', 'Thriller'})"
0.40825688073394495,"frozenset({'NonSummerRelease', 'LowRevenue'})"
0.38073394495412843,"frozenset({'LowRevenue', 'NotPopularTop25'})"
0.11009174311926606,"frozenset({'LowRevenue', 'PopularTop25'})"
0.0779816513761468,"frozenset({'LowRevenue', 'Science Fiction'})"
0.3577981651376147,"frozenset({'LowRevenue', 'ShortRuntime'})"
0.08256880733944955,"frozenset({'SummerRelease', 'LowRevenue'})"
0.1743119266055046,"frozenset({'Thriller', 'LowRevenue'})"
0.11009174311926606,"frozenset({'NonSummerRelease', 'Mystery'})"
0.08256880733944955,"frozenset({'Mystery', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'Mystery', 'ShortRuntime'})"
0.6009174311926605,"frozenset({'NonSummerRelease', 'NotPopularTop25'})"
0.19724770642201836,"frozenset({'NonSummerRelease', 'PopularTop25'})"
0.09174311926605505,"frozenset({'NonSummerRelease', 'Romance'})"
0.1743119266055046,"frozenset({'NonSummerRelease', 'Science Fiction'})"
0.41284403669724773,"frozenset({'NonSummerRelease', 'ShortRuntime'})"
0.25688073394495414,"frozenset({'Thriller', 'NonSummerRelease'})"
0.0963302752293578,"frozenset({'Romance', 'NotPopularTop25'})"
0.13761467889908258,"frozenset({'NotPopularTop25', 'Science Fiction'})"
0.3577981651376147,"frozenset({'ShortRuntime', 'NotPopularTop25'})"
0.14678899082568808,"frozenset({'SummerRelease', 'NotPopularTop25'})"
0.22018348623853212,"frozenset({'Thriller', 'NotPopularTop25'})"
0.0779816513761468,"frozenset({'PopularTop25', 'Science Fiction'})"
0.13761467889908258,"frozenset({'PopularTop25', 'ShortRuntime'})"
0.11926605504587157,"frozenset({'Thriller', 'PopularTop25'})"
0.0779816513761468,"frozenset({'ShortRuntime', 'Science Fiction'})"
0.08256880733944955,"frozenset({'SummerRelease', 'ShortRuntime'})"
0.1743119266055046,"frozenset({'Thriller', 'ShortRuntime'})"
0.08256880733944955,"frozenset({'SummerRelease', 'Thriller'})"
0.12385321100917432,"frozenset({'Action', 'Adventure', 'HighBudget'})"
0.11009174311926606,"frozenset({'HighRating', 'Action', 'Adventure'})"
0.12844036697247707,"frozenset({'HighRevenue', 'Action', 'Adventure'})"
0.13302752293577982,"frozenset({'Action', 'Adventure', 'LongRuntime'})"
