antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NotPopularTop25'}),frozenset({'NonSummerRelease'}),0.7477064220183486,0.7981651376146789,0.6009174311926605,0.803680981595092,1.006910655101897,1.0,0.0041242319670061756,1.0280963302752295,0.027203331020125118,0.6359223300970873,0.027328499721137926,0.7782772724067414
frozenset({'NonSummerRelease'}),frozenset({'NotPopularTop25'}),0.7981651376146789,0.7477064220183486,0.6009174311926605,0.7528735632183907,1.006910655101897,1.0,0.0041242319670061756,1.0209088969490077,0.0340041637751564,0.6359223300970873,0.020480668756530644,0.7782772724067414
frozenset({'LowRating'}),frozenset({'NonSummerRelease'}),0.5596330275229358,0.7981651376146789,0.46788990825688076,0.8360655737704918,1.0474844544940645,1.0,0.02121033583031734,1.231192660550459,0.10294117647058834,0.5257731958762888,0.18777943368107328,0.711136235161108
frozenset({'NonSummerRelease'}),frozenset({'LowRating'}),0.7981651376146789,0.5596330275229358,0.46788990825688076,0.5862068965517242,1.0474844544940647,1.0,0.02121033583031734,1.0642201834862388,0.22459893048128368,0.5257731958762888,0.06034482758620709,0.711136235161108
frozenset({'HighBudget'}),frozenset({'HighRevenue'}),0.5,0.5091743119266054,0.44036697247706424,0.8807339449541285,1.72972972972973,1.0,0.18577981651376152,4.115384615384618,0.8437500000000002,0.774193548387097,0.7570093457943926,0.8727994049094967
frozenset({'HighRevenue'}),frozenset({'HighBudget'}),0.5091743119266054,0.5,0.44036697247706424,0.864864864864865,1.72972972972973,1.0,0.18577981651376152,3.700000000000004,0.8595210280373833,0.774193548387097,0.72972972972973,0.8727994049094967
frozenset({'LowBudget'}),frozenset({'LowRevenue'}),0.5,0.4908256880733945,0.43119266055045874,0.8623853211009175,1.7570093457943927,1.0,0.1857798165137615,3.700000000000001,0.8617021276595745,0.7704918032786886,0.7297297297297299,0.8704449969990569
frozenset({'LowRevenue'}),frozenset({'LowBudget'}),0.4908256880733945,0.5,0.43119266055045874,0.8785046728971964,1.7570093457943927,1.0,0.1857798165137615,4.1153846153846185,0.84617596319724,0.7704918032786886,0.7570093457943927,0.8704449969990569
frozenset({'LowBudget'}),frozenset({'NotPopularTop25'}),0.5,0.7477064220183486,0.41743119266055045,0.8348623853211009,1.116564417177914,1.0,0.04357798165137616,1.527777777777778,0.20879120879120888,0.5027624309392265,0.3454545454545455,0.696572296955029
frozenset({'NotPopularTop25'}),frozenset({'LowBudget'}),0.7477064220183486,0.5,0.41743119266055045,0.558282208588957,1.116564417177914,1.0,0.04357798165137616,1.1319444444444444,0.4137862137862139,0.5027624309392265,0.1165644171779141,0.696572296955029
frozenset({'ShortRuntime'}),frozenset({'NonSummerRelease'}),0.4954128440366973,0.7981651376146789,0.41284403669724773,0.8333333333333334,1.0440613026819925,1.0,0.0174227758606178,1.211009174311927,0.08363636363636368,0.46875,0.17424242424242448,0.6752873563218391
frozenset({'NonSummerRelease'}),frozenset({'ShortRuntime'}),0.7981651376146789,0.4954128440366973,0.41284403669724773,0.5172413793103449,1.0440613026819923,1.0,0.0174227758606178,1.04521625163827,0.20909090909090916,0.46875,0.043260188087774314,0.6752873563218391
frozenset({'LowRevenue'}),frozenset({'NonSummerRelease'}),0.4908256880733945,0.7981651376146789,0.40825688073394495,0.8317757009345794,1.042109786228381,1.0,0.01649692786802459,1.199796126401631,0.07936025913554011,0.4635416666666667,0.16652506372132536,0.6716349769040713
frozenset({'NonSummerRelease'}),frozenset({'LowRevenue'}),0.7981651376146789,0.4908256880733945,0.40825688073394495,0.5114942528735632,1.042109786228381,1.0,0.01649692786802459,1.0423097679438746,0.20020429009193072,0.4635416666666667,0.0405923164543854,0.6716349769040713
frozenset({'LowRating'}),frozenset({'NotPopularTop25'}),0.5596330275229358,0.7477064220183486,0.40825688073394495,0.7295081967213115,0.9756612692346376,1.0,-0.01018432791852536,0.9327217125382266,-0.05361098803721747,0.4540816326530612,-0.07213114754098329,0.637760233329981
