id,title,release_date,release_date_full,popularity,vote_average,vote_count,adult,runtime,budget,revenue,genres,release_year,release_month,label_popular_top25,label_high_rating
1589891,A Time for Bravery,2025-12-18,2025-12-18,22.2053,7.595,74,False,107,0.0,0.0,Comedy|Action,2025,12,0,1
550,Fight Club,1999-10-15,1999-10-15,22.17,8.438,31335,False,139,63000000.0,100853753.0,Drama|Thriller,1999,10,0,1
1233506,The Shrinking Man,2025-10-22,2025-10-22,22.1494,6.0,43,False,99,24350000.0,0.0,Adventure|Science Fiction,2025,10,0,0
1119878,Ice Road: Vengeance,2025-06-27,2025-06-27,22.0793,6.252,565,False,113,0.0,0.0,Action|Thriller|Drama,2025,6,0,0
1302017,Uhaw,2024-09-13,2024-09-13,22.037,4.4,5,False,94,0.0,0.0,Drama,2024,9,0,0
1161617,Code 3,2025-09-12,2025-09-12,21.9056,6.971,190,False,100,0.0,0.0,Comedy|Action,2025,9,0,0
482600,Japanese Mom,2017-02-09,2017-02-09,21.7475,6.6,62,False,91,0.0,0.0,Romance|Drama,2017,2,0,0
950387,A Minecraft Movie,2025-03-31,2025-03-31,21.6706,6.291,2732,False,101,150000000.0,958287780.0,Family|Fantasy|Comedy|Adventure,2025,3,0,0
1086260,The Astronaut,2025-09-26,2025-09-26,21.5875,5.725,167,False,90,0.0,0.0,Science Fiction|Horror|Thriller,2025,9,0,0
198663,The Maze Runner,2014-09-10,2014-09-10,21.577,7.19,17823,False,113,34000000.0,348319861.0,Action|Mystery|Science Fiction|Thriller,2014,9,0,1
13852,The Castle,1997-04-10,1997-04-10,21.5055,7.064,220,False,85,800000.0,861789.0,Drama|Comedy,1997,4,0,1
324857,Spider-Man: Into the Spider-Verse,2018-12-06,2018-12-06,21.3517,8.393,16802,False,117,90000000.0,393602435.0,Animation|Action|Adventure|Science Fiction,2018,12,0,1
361743,Top Gun: Maverick,2022-05-21,2022-05-21,21.2373,8.158,10534,False,131,170000000.0,1488732821.0,Action|Drama,2022,5,0,1
205596,The Imitation Game,2014-11-14,2014-11-14,21.1599,7.988,17782,False,113,14000000.0,233555708.0,History|Drama|Thriller|War,2014,11,0,1
1033148,Die My Love,2025-10-06,2025-10-06,21.1066,6.2,339,False,119,22000000.0,11745933.0,Drama,2025,10,0,0
392269,The Divide,2015-11-20,2015-11-20,21.0767,6.7,12,False,78,0.0,0.0,Documentary,2015,11,0,0
862,Toy Story,1995-11-22,1995-11-22,20.9245,7.971,19497,False,81,30000000.0,401157969.0,Family|Comedy|Animation|Adventure,1995,11,0,1
438631,Dune,2021-09-15,2021-09-15,20.8839,7.776,14370,False,155,165000000.0,410668500.0,Science Fiction|Adventure,2021,9,0,1
674,Harry Potter and the Goblet of Fire,2005-11-16,2005-11-16,20.8491,7.801,21790,False,157,150000000.0,895921036.0,Adventure|Fantasy,2005,11,0,1
402431,Wicked,2024-10-16,2024-10-16,20.8446,6.9,2832,False,162,150000000.0,758737211.0,Drama|Romance|Fantasy,2024,10,0,0
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,2014-12-10,20.7955,7.33,15057,False,144,250000000.0,956019788.0,Action|Adventure|Fantasy,2014,12,0,1
1022789,Inside Out 2,2024-06-11,2024-06-11,20.7853,7.545,6422,False,97,200000000.0,1698863816.0,Animation|Adventure|Comedy|Family,2024,6,0,1
338969,The Toxic Avenger Unrated,2025-08-28,2025-08-28,20.7502,6.0,279,False,102,0.0,3328938.0,Action|Comedy|Science Fiction,2025,8,0,0
121,The Lord of the Rings: The Two Towers,2002-12-18,2002-12-18,20.7118,8.412,23349,False,179,79000000.0,926287400.0,Adventure|Fantasy|Action,2002,12,0,1
557,Spider-Man,2002-05-01,2002-05-01,20.6096,7.319,20232,False,121,139000000.0,821708551.0,Action|Science Fiction,2002,5,0,1
