feature,importance
release_year,0.16989976501615853
vote_count,0.1406902260552263
release_month,0.11564553978253554
vote_average,0.1045047764158633
budget,0.10374180767490705
revenue,0.09980473793962638
runtime,0.07133304563615674
genre_Action,0.056980818750396
genre_Thriller,0.0349748468590871
genre_Adventure,0.01706775896191305
genre_Comedy,0.012958380285123383
genre_Horror,0.012094211837028041
